,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
All_Freight,1.618416,9.758714,10.63023,10.403437,9.690364,8.843633,8.782481,8.613221,8.671295,8.744568,11.621057,11.397628,11.361608,10.128488,10.35443,10.62949,10.707826,10.771127,11.456967,10.937982,10.309158,10.876663,10.572864,10.87571,9.370281,10.068457,10.671999
All_Freight_Both_Mainline,0,8.055856,8.986792,8.741639,8.188266,7.280552,7.376211,7.128909,7.267949,7.585756,9.188751,8.893828,8.979704,8.18045,8.345408,8.48794,8.547976,8.614211,9.266649,8.79486,8.3259,8.966881,8.647938,9.003908,7.642455,8.297815,8.899409
All_Freight_Only_Mainline,0,8.055286,8.986792,8.741639,8.188266,7.280552,7.376211,7.128909,7.267949,7.585756,9.188751,8.893828,8.979704,8.18045,8.345408,8.48794,8.547976,8.614211,9.266649,8.79486,8.3259,8.966881,8.647938,9.003908,7.642455,8.297815,8.899409
All_Freight_Other_Mainline,0,0.00057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All_Freight_Non_Mainline,1.618416,1.702858,1.643438,1.661798,1.502098,1.563081,1.40627,1.484312,1.403346,1.158812,2.432306,2.5038,2.381904,1.948038,2.009022,2.14155,2.15985,2.156916,2.190318,2.143122,1.983258,1.909782,1.924926,1.871802,1.727826,1.770642,1.77259
ClassI_Freight_Both_Mainline,0,8.055856,8.986792,8.741639,8.188266,7.280552,7.376211,7.128909,7.267949,7.585756,9.188751,8.893828,8.979704,8.18045,8.345408,8.48794,8.547976,8.614211,9.266649,8.79486,8.3259,8.966881,8.647938,9.003908,7.642455,8.297815,8.899409
ClassI_Freight_Only_Mainline,0,8.055286,8.986792,8.741639,8.188266,7.280552,7.376211,7.128909,7.267949,7.585756,9.188751,8.893828,8.979704,8.18045,8.345408,8.48794,8.547976,8.614211,9.266649,8.79486,8.3259,8.966881,8.647938,9.003908,7.642455,8.297815,8.899409
ClassI_Freight_Other_Mainline,0,0.00057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ClassI_Freight_Non_Mainline,1.618416,1.702858,1.643438,1.661798,1.502098,1.563081,1.40627,1.484312,1.403346,1.158812,2.432306,2.5038,2.381904,1.948038,2.009022,2.14155,2.15985,2.156916,2.190318,2.143122,1.983258,1.909782,1.924926,1.871802,1.727826,1.770642,1.77259
Non_ClassI_Freight_Both_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Non_ClassI_Freight_Only_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Non_ClassI_Freight_Other_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Non_ClassI_Freight_Non_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All_Passenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All_Train,1.618416,9.758714,10.63023,10.403437,9.690364,8.843633,8.782481,8.613221,8.671295,8.744568,11.621057,11.397628,11.361608,10.128488,10.35443,10.62949,10.707826,10.771127,11.456967,10.937982,10.309158,10.876663,10.572864,10.87571,9.370281,10.068457,10.671999
All_Train_Mainline,0,8.055856,8.986792,8.741639,8.188266,7.280552,7.376211,7.128909,7.267949,7.585756,9.188751,8.893828,8.979704,8.18045,8.345408,8.48794,8.547976,8.614211,9.266649,8.79486,8.3259,8.966881,8.647938,9.003908,7.642455,8.297815,8.899409
All_Train_Non_Mainline,1.618416,1.702858,1.643438,1.661798,1.502098,1.563081,1.40627,1.484312,1.403346,1.158812,2.432306,2.5038,2.381904,1.948038,2.009022,2.14155,2.15985,2.156916,2.190318,2.143122,1.983258,1.909782,1.924926,1.871802,1.727826,1.770642,1.77259
